step 84400, train_loss 2.3482e+00, test_loss nan
step 84600, train_loss 2.1071e+00, test_loss nan
step 84800, train_loss 1.3386e+00, test_loss nan
step 85000, train_loss 3.3555e+00, test_loss nan
step 85200, train_loss 1.1021e+01, test_loss nan
step 85400, train_loss 2.9448e+01, test_loss nan
step 85600, train_loss 1.8035e+00, test_loss nan
step 85800, train_loss 1.6533e+00, test_loss nan
step 86000, train_loss 1.7985e+01, test_loss nan
step 86200, train_loss 7.6438e+00, test_loss nan
step 86400, train_loss 2.1503e+00, test_loss nan
step 86600, train_loss 1.5922e+00, test_loss nan
step 86800, train_loss 9.0610e+00, test_loss nan
step 87000, train_loss 1.3940e+00, test_loss nan
step 87200, train_loss 5.9925e-01, test_loss nan
step 87400, train_loss 6.8369e-01, test_loss nan
step 87600, train_loss 2.9014e-01, test_loss nan
step 87800, train_loss 8.4999e-01, test_loss nan
step 88000, train_loss 9.8428e-01, test_loss nan
step 88200, train_loss 1.1108e+00, test_loss nan
step 88400, train_loss 4.3183e+00, test_loss nan
step 88600, train_loss 1.2376e+00, test_loss nan
step 88800, train_loss 1.1665e+01, test_loss nan
step 89000, train_loss 9.2459e-01, test_loss nan
step 89200, train_loss 7.7219e-01, test_loss nan
step 89400, train_loss 3.7164e-01, test_loss nan
step 89600, train_loss 5.7961e+00, test_loss nan
step 89800, train_loss 5.8345e+00, test_loss nan
step 90000, train_loss 5.7270e+00, test_loss nan
step 90200, train_loss 8.7798e-01, test_loss nan
step 90400, train_loss 3.5127e+00, test_loss nan
step 90600, train_loss 4.6944e+00, test_loss nan
step 90800, train_loss 5.1644e+00, test_loss nan
step 91000, train_loss 2.1215e+00, test_loss nan
step 91200, train_loss 1.7848e+01, test_loss nan
step 91400, train_loss 4.5030e+00, test_loss nan
step 91600, train_loss 6.9648e-01, test_loss nan
step 91800, train_loss 2.4626e+00, test_loss nan
step 92000, train_loss 8.5333e+00, test_loss nan
step 92200, train_loss 7.0310e+00, test_loss nan
step 92400, train_loss 1.0564e+01, test_loss nan
step 92600, train_loss 8.5830e+00, test_loss nan
step 92800, train_loss 9.4049e-01, test_loss nan
step 93000, train_loss 3.3950e+00, test_loss nan
step 93200, train_loss 9.0722e-01, test_loss nan
step 93400, train_loss 9.1869e+00, test_loss nan
step 93600, train_loss 1.0307e+00, test_loss nan
step 93800, train_loss 7.5853e+00, test_loss nan
step 94000, train_loss 5.3216e+00, test_loss nan
step 94200, train_loss 1.1720e+01, test_loss nan
step 94400, train_loss 1.5239e+01, test_loss nan
step 94600, train_loss 4.8815e+00, test_loss nan
step 94800, train_loss 5.0860e-01, test_loss nan
step 95000, train_loss 4.8483e+00, test_loss nan
step 95200, train_loss 1.5999e+00, test_loss nan
step 95400, train_loss 2.0781e+01, test_loss nan
step 95600, train_loss 1.2979e+01, test_loss nan
step 95800, train_loss 2.0436e+00, test_loss nan
step 96000, train_loss 2.1959e+00, test_loss nan
step 96200, train_loss 5.2258e-01, test_loss nan
step 96400, train_loss 2.8291e+00, test_loss nan
step 96600, train_loss 4.4576e+00, test_loss nan
step 96800, train_loss 9.8009e-01, test_loss nan
step 97000, train_loss 4.4432e-01, test_loss nan
step 97200, train_loss 3.1586e+00, test_loss nan
step 97400, train_loss 4.2822e+00, test_loss nan
step 97600, train_loss 1.2702e+01, test_loss nan
step 97800, train_loss 7.0343e+00, test_loss nan
step 98000, train_loss 2.8790e+00, test_loss nan
step 98200, train_loss 1.8036e+00, test_loss nan
step 98400, train_loss 5.4554e+00, test_loss nan
step 98600, train_loss 8.8376e-01, test_loss nan
step 98800, train_loss 1.0525e+00, test_loss nan
step 99000, train_loss 2.8158e+00, test_loss nan
step 99200, train_loss 2.0589e+00, test_loss nan
step 99400, train_loss 1.9638e+01, test_loss nan
step 99600, train_loss 7.5283e-01, test_loss nan
step 99800, train_loss 5.7541e-01, test_loss nan
step 100000, train_loss 4.9666e-01, test_loss nan
Final train loss 3.2959e-01 +/- 1.1302e-02
